ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME
01A,"Afognak Lake, AK",A43,"Kodiak Island, AK"
06A,"Kizhuyak, AK",A43,"Kodiak Island, AK"
06A,"Kizhuyak, AK",A43,"Kodiak Island, AK"
1G4,"Peach Springs, AZ",GCN,"Grand Canyon, AZ"
1G4,"Peach Springs, AZ",BLD,"Boulder City, NV"
1G4,"Peach Springs, AZ",DQS,"Whitmore, AZ"
1G4,"Peach Springs, AZ",BLD,"Boulder City, NV"
2AK,"Deer Park, AK",SIT,"Sitka, AK"
2AK,"Deer Park, AK",PTD,"Port Alexander, AK"
2NC,"Asheboro, NC",MXE,"Maxton, NC"
2NC,"Asheboro, NC",MXE,"Maxton, NC"
3TN,"Elizabethon, TN",DAL,"Dallas, TX"
7AK,"Akun, AK",KQA,"Akutan, AK"
7AK,"Akun, AK",KQA,"Akutan, AK"
7AK,"Akun, AK",DUT,"Unalaska, AK"
7AK,"Akun, AK",DUT,"Unalaska, AK"
7AK,"Akun, AK",CDB,"Cold Bay, AK"
7AK,"Akun, AK",DUT,"Unalaska, AK"
A01,"Fairbanks/Ft. Wainwright, AK",FAI,"Fairbanks, AK"
A04,"Red Lake, AK",A43,"Kodiak Island, AK"
A04,"Red Lake, AK",KKL,"Karluk Lake, AK"
A1K,"Deadhorse1, AK",A1K,"Deadhorse1, AK"
A1K,"Deadhorse1, AK",SCC,"Deadhorse, AK"
A20,"Alpine, AK",SCC,"Deadhorse, AK"
A20,"Alpine, AK",ANC,"Anchorage, AK"
A27,"Pogo Mines, AK",FAI,"Fairbanks, AK"
A29,"Kiluda Bay, AK",A43,"Kodiak Island, AK"
A29,"Kiluda Bay, AK",A43,"Kodiak Island, AK"
A34,"Laura Lake, AK",A43,"Kodiak Island, AK"
A34,"Laura Lake, AK",A34,"Laura Lake, AK"
A34,"Laura Lake, AK",A43,"Kodiak Island, AK"
A43,"Kodiak Island, AK",KOY,"Olga Bay, AK"
A43,"Kodiak Island, AK",AOS,"Amook Bay, AK"
A43,"Kodiak Island, AK",KKB,"Kitoi Bay, AK"
A43,"Kodiak Island, AK",KOY,"Olga Bay, AK"
A43,"Kodiak Island, AK",KPR,"Port Williams, AK"
A43,"Kodiak Island, AK",KPY,"Port Bailey, AK"
A43,"Kodiak Island, AK",SYB,"Seal Bay, AK"
A43,"Kodiak Island, AK",06A,"Kizhuyak, AK"
A43,"Kodiak Island, AK",A29,"Kiluda Bay, AK"
A43,"Kodiak Island, AK",A75,"Malina Bay, AK"
A43,"Kodiak Island, AK",AOS,"Amook Bay, AK"
A43,"Kodiak Island, AK",DGB,"Danger Bay, AK"
A43,"Kodiak Island, AK",KKB,"Kitoi Bay, AK"
A43,"Kodiak Island, AK",KKL,"Karluk Lake, AK"
A43,"Kodiak Island, AK",KLN,"Larsen Bay, AK"
A43,"Kodiak Island, AK",KOZ,"Ouzinkie, AK"
A43,"Kodiak Island, AK",ONN,"Onion Bay, AK"
A43,"Kodiak Island, AK",SYB,"Seal Bay, AK"
A43,"Kodiak Island, AK",01A,"Afognak Lake, AK"
A43,"Kodiak Island, AK",06A,"Kizhuyak, AK"
A43,"Kodiak Island, AK",A29,"Kiluda Bay, AK"
A43,"Kodiak Island, AK",A50,"Big Bay, AK"
A43,"Kodiak Island, AK",A65,"Karluk Portage, AK"
A43,"Kodiak Island, AK",A75,"Malina Bay, AK"
A43,"Kodiak Island, AK",ALZ,"Lazy Bay, AK"
A43,"Kodiak Island, AK",AOS,"Amook Bay, AK"
A43,"Kodiak Island, AK",DGB,"Danger Bay, AK"
A43,"Kodiak Island, AK",EHR,"Eagle Harbor, AK"
A43,"Kodiak Island, AK",JLA,"Cooper Lodge, AK"
A43,"Kodiak Island, AK",KKB,"Kitoi Bay, AK"
A43,"Kodiak Island, AK",KKL,"Karluk Lake, AK"
A43,"Kodiak Island, AK",KLN,"Larsen Bay, AK"
A43,"Kodiak Island, AK",KOY,"Olga Bay, AK"
A43,"Kodiak Island, AK",KOZ,"Ouzinkie, AK"
A43,"Kodiak Island, AK",ONN,"Onion Bay, AK"
A43,"Kodiak Island, AK",SYB,"Seal Bay, AK"
A43,"Kodiak Island, AK",DGB,"Danger Bay, AK"
A50,"Big Bay, AK",A43,"Kodiak Island, AK"
A65,"Karluk Portage, AK",A43,"Kodiak Island, AK"
A65,"Karluk Portage, AK",JLA,"Cooper Lodge, AK"
A75,"Malina Bay, AK",A43,"Kodiak Island, AK"
A75,"Malina Bay, AK",A43,"Kodiak Island, AK"
ABE,"Allentown/Bethlehem/Easton, PA",AFW,"Dallas/Fort Worth, TX"
ABE,"Allentown/Bethlehem/Easton, PA",ORD,"Chicago, IL"
ABE,"Allentown/Bethlehem/Easton, PA",MEM,"Memphis, TN"
ABE,"Allentown/Bethlehem/Easton, PA",IND,"Indianapolis, IN"
ABE,"Allentown/Bethlehem/Easton, PA",DSM,"Des Moines, IA"
ABE,"Allentown/Bethlehem/Easton, PA",PHL,"Philadelphia, PA"
ABE,"Allentown/Bethlehem/Easton, PA",LAL,"Lakeland, FL"
ABE,"Allentown/Bethlehem/Easton, PA",ORD,"Chicago, IL"
ABE,"Allentown/Bethlehem/Easton, PA",IAD,"Washington, DC"
ABE,"Allentown/Bethlehem/Easton, PA",BED,"Bedford, MA"
ABE,"Allentown/Bethlehem/Easton, PA",DTW,"Detroit, MI"
ABE,"Allentown/Bethlehem/Easton, PA",EWR,"Newark, NJ"
ABE,"Allentown/Bethlehem/Easton, PA",LGA,"New York, NY"
ABE,"Allentown/Bethlehem/Easton, PA",ATL,"Atlanta, GA"
ABE,"Allentown/Bethlehem/Easton, PA",DTW,"Detroit, MI"
ABE,"Allentown/Bethlehem/Easton, PA",DTW,"Detroit, MI"
ABE,"Allentown/Bethlehem/Easton, PA",CVG,"Cincinnati, OH"
ABE,"Allentown/Bethlehem/Easton, PA",SMF,"Sacramento, CA"
ABE,"Allentown/Bethlehem/Easton, PA",ILN,"Wilmington, OH"
ABE,"Allentown/Bethlehem/Easton, PA",SBD,"San Bernardino, CA"
ABE,"Allentown/Bethlehem/Easton, PA",MYR,"Myrtle Beach, SC"
ABE,"Allentown/Bethlehem/Easton, PA",SFB,"Sanford, FL"
ABE,"Allentown/Bethlehem/Easton, PA",PIE,"St. Petersburg, FL"
ABE,"Allentown/Bethlehem/Easton, PA",FLL,"Fort Lauderdale, FL"
ABE,"Allentown/Bethlehem/Easton, PA",SRQ,"Sarasota/Bradenton, FL"
ABE,"Allentown/Bethlehem/Easton, PA",PGD,"Punta Gorda, FL"
ABE,"Allentown/Bethlehem/Easton, PA",CLT,"Charlotte, NC"
ABE,"Allentown/Bethlehem/Easton, PA",CLT,"Charlotte, NC"
ABE,"Allentown/Bethlehem/Easton, PA",BOS,"Boston, MA"
ABE,"Allentown/Bethlehem/Easton, PA",ACY,"Atlantic City, NJ"
ABE,"Allentown/Bethlehem/Easton, PA",MEM,"Memphis, TN"
ABE,"Allentown/Bethlehem/Easton, PA",ALO,"Waterloo, IA"
ABE,"Allentown/Bethlehem/Easton, PA",TPA,"Tampa, FL"
ABI,"Abilene, TX",DFW,"Dallas/Fort Worth, TX"
ABI,"Abilene, TX",DFW,"Dallas/Fort Worth, TX"
ABI,"Abilene, TX",LBB,"Lubbock, TX"
ABI,"Abilene, TX",LEX,"Lexington, KY"
ABI,"Abilene, TX",IAH,"Houston, TX"
ABI,"Abilene, TX",AZA,"Phoenix, AZ"
ABI,"Abilene, TX",AZA,"Phoenix, AZ"
ABL,"Ambler, AK",OTZ,"Kotzebue, AK"
ABL,"Ambler, AK",OBU,"Kobuk, AK"
ABL,"Ambler, AK",SHG,"Shungnak, AK"
ABL,"Ambler, AK",IAN,"Kiana, AK"
ABL,"Ambler, AK",WLK,"Selawik, AK"
ABL,"Ambler, AK",OTZ,"Kotzebue, AK"
ABL,"Ambler, AK",OTZ,"Kotzebue, AK"
ABL,"Ambler, AK",RDB,"Red Dog, AK"
ABL,"Ambler, AK",IAN,"Kiana, AK"
ABL,"Ambler, AK",ORV,"Noorvik, AK"
ABL,"Ambler, AK",OTZ,"Kotzebue, AK"
ABL,"Ambler, AK",OBU,"Kobuk, AK"
ABL,"Ambler, AK",SHG,"Shungnak, AK"
ABL,"Ambler, AK",OTZ,"Kotzebue, AK"
ABL,"Ambler, AK",UNK,"Unalakleet, AK"
ABL,"Ambler, AK",SHG,"Shungnak, AK"
ABQ,"Albuquerque, NM",ATL,"Atlanta, GA"
ABQ,"Albuquerque, NM",SEA,"Seattle, WA"
ABQ,"Albuquerque, NM",SEA,"Seattle, WA"
ABQ,"Albuquerque, NM",SEA,"Seattle, WA"
ABQ,"Albuquerque, NM",PDX,"Portland, OR"
ABQ,"Albuquerque, NM",LAX,"Los Angeles, CA"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",DFW,"Dallas/Fort Worth, TX"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",ORD,"Chicago, IL"
ABQ,"Albuquerque, NM",MSP,"Minneapolis, MN"
ABQ,"Albuquerque, NM",DFW,"Dallas/Fort Worth, TX"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",DFW,"Dallas/Fort Worth, TX"
ABQ,"Albuquerque, NM",ORD,"Chicago, IL"
ABQ,"Albuquerque, NM",DFW,"Dallas/Fort Worth, TX"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",DFW,"Dallas/Fort Worth, TX"
ABQ,"Albuquerque, NM",DFW,"Dallas/Fort Worth, TX"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",ORD,"Chicago, IL"
ABQ,"Albuquerque, NM",CNM,"Carlsbad, NM"
ABQ,"Albuquerque, NM",SVC,"Silver City/Hurley, NM"
ABQ,"Albuquerque, NM",AFW,"Dallas/Fort Worth, TX"
ABQ,"Albuquerque, NM",XWH,"Aztec, NM"
ABQ,"Albuquerque, NM",FMN,"Farmington, NM"
ABQ,"Albuquerque, NM",DRO,"Durango, CO"
ABQ,"Albuquerque, NM",LBB,"Lubbock, TX"
ABQ,"Albuquerque, NM",MEM,"Memphis, TN"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",LAS,"Las Vegas, NV"
ABQ,"Albuquerque, NM",FNL,"Fort Collins/Loveland, CO"
ABQ,"Albuquerque, NM",LAX,"Los Angeles, CA"
ABQ,"Albuquerque, NM",LAR,"Laramie, WY"
ABQ,"Albuquerque, NM",COS,"Colorado Springs, CO"
ABQ,"Albuquerque, NM",IAH,"Houston, TX"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",AUS,"Austin, TX"
ABQ,"Albuquerque, NM",FMN,"Farmington, NM"
ABQ,"Albuquerque, NM",XWH,"Aztec, NM"
ABQ,"Albuquerque, NM",DRO,"Durango, CO"
ABQ,"Albuquerque, NM",ORD,"Chicago, IL"
ABQ,"Albuquerque, NM",IAH,"Houston, TX"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",IAH,"Houston, TX"
ABQ,"Albuquerque, NM",ORD,"Chicago, IL"
ABQ,"Albuquerque, NM",IAH,"Houston, TX"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",ORD,"Chicago, IL"
ABQ,"Albuquerque, NM",IAH,"Houston, TX"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",ORD,"Chicago, IL"
ABQ,"Albuquerque, NM",IAH,"Houston, TX"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",ONT,"Ontario, CA"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",SLC,"Salt Lake City, UT"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",SDF,"Louisville, KY"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",LAS,"Las Vegas, NV"
ABQ,"Albuquerque, NM",OAK,"Oakland, CA"
ABQ,"Albuquerque, NM",BWI,"Baltimore, MD"
ABQ,"Albuquerque, NM",DAL,"Dallas, TX"
ABQ,"Albuquerque, NM",HOU,"Houston, TX"
ABQ,"Albuquerque, NM",LAX,"Los Angeles, CA"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",AUS,"Austin, TX"
ABQ,"Albuquerque, NM",MDW,"Chicago, IL"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",LAS,"Las Vegas, NV"
ABQ,"Albuquerque, NM",OAK,"Oakland, CA"
ABQ,"Albuquerque, NM",SAN,"San Diego, CA"
ABQ,"Albuquerque, NM",BWI,"Baltimore, MD"
ABQ,"Albuquerque, NM",DAL,"Dallas, TX"
ABQ,"Albuquerque, NM",HOU,"Houston, TX"
ABQ,"Albuquerque, NM",MSY,"New Orleans, LA"
ABQ,"Albuquerque, NM",LAX,"Los Angeles, CA"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",AUS,"Austin, TX"
ABQ,"Albuquerque, NM",MDW,"Chicago, IL"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",LAS,"Las Vegas, NV"
ABQ,"Albuquerque, NM",OAK,"Oakland, CA"
ABQ,"Albuquerque, NM",BWI,"Baltimore, MD"
ABQ,"Albuquerque, NM",DAL,"Dallas, TX"
ABQ,"Albuquerque, NM",HOU,"Houston, TX"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",AUS,"Austin, TX"
ABQ,"Albuquerque, NM",MDW,"Chicago, IL"
ABQ,"Albuquerque, NM",JFK,"New York, NY"
ABQ,"Albuquerque, NM",ELP,"El Paso, TX"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",SDF,"Louisville, KY"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",LAS,"Las Vegas, NV"
ABQ,"Albuquerque, NM",AUS,"Austin, TX"
ABQ,"Albuquerque, NM",LAS,"Las Vegas, NV"
ABQ,"Albuquerque, NM",AUS,"Austin, TX"
ABQ,"Albuquerque, NM",ORD,"Chicago, IL"
ABQ,"Albuquerque, NM",IAH,"Houston, TX"
ABQ,"Albuquerque, NM",SLC,"Salt Lake City, UT"
ABQ,"Albuquerque, NM",PDX,"Portland, OR"
ABQ,"Albuquerque, NM",LAX,"Los Angeles, CA"
ABQ,"Albuquerque, NM",SFO,"San Francisco, CA"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",IAH,"Houston, TX"
ABQ,"Albuquerque, NM",SFO,"San Francisco, CA"
ABQ,"Albuquerque, NM",ORD,"Chicago, IL"
ABQ,"Albuquerque, NM",STL,"St. Louis, MO"
ABQ,"Albuquerque, NM",IAH,"Houston, TX"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",MEM,"Memphis, TN"
ABR,"Aberdeen, SD",FSD,"Sioux Falls, SD"
ABR,"Aberdeen, SD",VWS,"Wichita, KS"
ABR,"Aberdeen, SD",MSP,"Minneapolis, MN"
ABR,"Aberdeen, SD",MSP,"Minneapolis, MN"
ABY,"Albany, GA",ATL,"Atlanta, GA"
ABY,"Albany, GA",MIA,"Miami, FL"
ABY,"Albany, GA",JAX,"Jacksonville, FL"
ABY,"Albany, GA",MEM,"Memphis, TN"
ABY,"Albany, GA",MCO,"Orlando, FL"
ABY,"Albany, GA",SDF,"Louisville, KY"
ABY,"Albany, GA",MSY,"New Orleans, LA"
ABY,"Albany, GA",PNS,"Pensacola, FL"
ABY,"Albany, GA",SDF,"Louisville, KY"
ACK,"Nantucket, MA",EWR,"Newark, NJ"
ACK,"Nantucket, MA",IAD,"Washington, DC"
ACK,"Nantucket, MA",PVD,"Providence, RI"
ACK,"Nantucket, MA",SFM,"Sanford, ME"
ACK,"Nantucket, MA",OWD,"Norwood, MA"
ACK,"Nantucket, MA",EWB,"New Bedford/Fall River, MA"
ACK,"Nantucket, MA",PVD,"Providence, RI"
ACK,"Nantucket, MA",BED,"Bedford, MA"
ACK,"Nantucket, MA",LNS,"Lancaster, PA"
ACK,"Nantucket, MA",HPN,"White Plains, NY"
ACK,"Nantucket, MA",MMU,"Morristown, NJ"
ACK,"Nantucket, MA",ABE,"Allentown/Bethlehem/Easton, PA"
ACK,"Nantucket, MA",LGA,"New York, NY"
ACK,"Nantucket, MA",FRG,"East Farmingdale, NY"
ACK,"Nantucket, MA",HPN,"White Plains, NY"
ACK,"Nantucket, MA",BOS,"Boston, MA"
ACK,"Nantucket, MA",TEB,"Teterboro, NJ"
ACK,"Nantucket, MA",CON,"Concord, NH"
ACK,"Nantucket, MA",FID,"Fishers Island, NY"
ACK,"Nantucket, MA",NPT,"Newport, RI"
ACK,"Nantucket, MA",PSF,"Pittsfield, MA"
ACK,"Nantucket, MA",HPN,"White Plains, NY"
ACK,"Nantucket, MA",PBI,"West Palm Beach/Palm Beach, FL"
ACK,"Nantucket, MA",EWR,"Newark, NJ"
ACK,"Nantucket, MA",LGA,"New York, NY"
ACK,"Nantucket, MA",HPN,"White Plains, NY"
ACK,"Nantucket, MA",BOS,"Boston, MA"
ACK,"Nantucket, MA",DCA,"Washington, DC"
ACK,"Nantucket, MA",JFK,"New York, NY"
ACK,"Nantucket, MA",VRB,"Vero Beach, FL"
ACK,"Nantucket, MA",FTW,"Dallas/Fort Worth, TX"
ACK,"Nantucket, MA",TEB,"Teterboro, NJ"
ACK,"Nantucket, MA",PBI,"West Palm Beach/Palm Beach, FL"
ACK,"Nantucket, MA",HYA,"Hyannis, MA"
ACK,"Nantucket, MA",MVY,"Martha's Vineyard, MA"
ACK,"Nantucket, MA",EWB,"New Bedford/Fall River, MA"
ACK,"Nantucket, MA",HPN,"White Plains, NY"
ACK,"Nantucket, MA",BOS,"Boston, MA"
ACK,"Nantucket, MA",JFK,"New York, NY"
ACK,"Nantucket, MA",HYA,"Hyannis, MA"
ACT,"Waco, TX",PVU,"Provo, UT"
ACT,"Waco, TX",CLL,"College Station/Bryan, TX"
ACT,"Waco, TX",DFW,"Dallas/Fort Worth, TX"
ACT,"Waco, TX",DFW,"Dallas/Fort Worth, TX"
ACT,"Waco, TX",CKB,"Clarksburg/Fairmont, WV"
ACT,"Waco, TX",OKC,"Oklahoma City, OK"
ACT,"Waco, TX",IFP,"Bullhead City, AZ"
ACT,"Waco, TX",SHV,"Shreveport, LA"
ACV,"Arcata/Eureka, CA",PHX,"Phoenix, AZ"
ACV,"Arcata/Eureka, CA",SMF,"Sacramento, CA"
ACV,"Arcata/Eureka, CA",UKI,"Ukiah, CA"
ACV,"Arcata/Eureka, CA",DEN,"Denver, CO"
ACV,"Arcata/Eureka, CA",LAX,"Los Angeles, CA"
ACV,"Arcata/Eureka, CA",SFO,"San Francisco, CA"
ACV,"Arcata/Eureka, CA",LAX,"Los Angeles, CA"
ACV,"Arcata/Eureka, CA",PHX,"Phoenix, AZ"
ACV,"Arcata/Eureka, CA",SFO,"San Francisco, CA"
ACV,"Arcata/Eureka, CA",SJC,"San Jose, CA"
ACV,"Arcata/Eureka, CA",BUR,"Burbank, CA"
ACV,"Arcata/Eureka, CA",BUR,"Burbank, CA"
ACY,"Atlantic City, NJ",FRG,"East Farmingdale, NY"
ACY,"Atlantic City, NJ",DTW,"Detroit, MI"
ACY,"Atlantic City, NJ",CVG,"Cincinnati, OH"
ACY,"Atlantic City, NJ",ORD,"Chicago, IL"
ACY,"Atlantic City, NJ",MCN,"Macon, GA"
ACY,"Atlantic City, NJ",CLT,"Charlotte, NC"
ACY,"Atlantic City, NJ",IND,"Indianapolis, IN"
ACY,"Atlantic City, NJ",PIT,"Pittsburgh, PA"
ACY,"Atlantic City, NJ",PIE,"St. Petersburg, FL"
ACY,"Atlantic City, NJ",DAB,"Daytona Beach, FL"
ACY,"Atlantic City, NJ",AUS,"Austin, TX"
ACY,"Atlantic City, NJ",SRQ,"Sarasota/Bradenton, FL"
ACY,"Atlantic City, NJ",MCI,"Kansas City, MO"
ACY,"Atlantic City, NJ",RSW,"Fort Myers, FL"
ACY,"Atlantic City, NJ",MHT,"Manchester, NH"
ACY,"Atlantic City, NJ",SHV,"Shreveport, LA"
ACY,"Atlantic City, NJ",TPA,"Tampa, FL"
ACY,"Atlantic City, NJ",SJU,"San Juan, PR"
ACY,"Atlantic City, NJ",RSW,"Fort Myers, FL"
ACY,"Atlantic City, NJ",MCO,"Orlando, FL"
ACY,"Atlantic City, NJ",MIA,"Miami, FL"
ACY,"Atlantic City, NJ",TPA,"Tampa, FL"
ACY,"Atlantic City, NJ",MYR,"Myrtle Beach, SC"
ACY,"Atlantic City, NJ",FLL,"Fort Lauderdale, FL"
ACY,"Atlantic City, NJ",RSW,"Fort Myers, FL"
ACY,"Atlantic City, NJ",MCO,"Orlando, FL"
ACY,"Atlantic City, NJ",PBI,"West Palm Beach/Palm Beach, FL"
ACY,"Atlantic City, NJ",MCO,"Orlando, FL"
ACY,"Atlantic City, NJ",MIA,"Miami, FL"
ACY,"Atlantic City, NJ",EWR,"Newark, NJ"
ACY,"Atlantic City, NJ",TPA,"Tampa, FL"
ACY,"Atlantic City, NJ",MYR,"Myrtle Beach, SC"
ACY,"Atlantic City, NJ",FLL,"Fort Lauderdale, FL"
ACY,"Atlantic City, NJ",RSW,"Fort Myers, FL"
ACY,"Atlantic City, NJ",MCO,"Orlando, FL"
ACY,"Atlantic City, NJ",BED,"Bedford, MA"
ACY,"Atlantic City, NJ",PIT,"Pittsburgh, PA"
ACY,"Atlantic City, NJ",FLL,"Fort Lauderdale, FL"
ACY,"Atlantic City, NJ",TEB,"Teterboro, NJ"
ACY,"Atlantic City, NJ",AUS,"Austin, TX"
ACY,"Atlantic City, NJ",2NC,"Asheboro, NC"
ACY,"Atlantic City, NJ",FRG,"East Farmingdale, NY"
ACY,"Atlantic City, NJ",FLL,"Fort Lauderdale, FL"
ACY,"Atlantic City, NJ",FSD,"Sioux Falls, SD"
ACY,"Atlantic City, NJ",2NC,"Asheboro, NC"
ACY,"Atlantic City, NJ",MMU,"Morristown, NJ"
ACY,"Atlantic City, NJ",DAL,"Dallas, TX"
ACY,"Atlantic City, NJ",FRG,"East Farmingdale, NY"
ACY,"Atlantic City, NJ",RIC,"Richmond, VA"
ACY,"Atlantic City, NJ",CLE,"Cleveland, OH"
ACY,"Atlantic City, NJ",PIA,"Peoria, IL"
ACY,"Atlantic City, NJ",DTW,"Detroit, MI"
ACY,"Atlantic City, NJ",CVG,"Cincinnati, OH"
ACY,"Atlantic City, NJ",MIA,"Miami, FL"
ACY,"Atlantic City, NJ",CMH,"Columbus, OH"
ACY,"Atlantic City, NJ",EWR,"Newark, NJ"
ACY,"Atlantic City, NJ",GSO,"Greensboro/High Point, NC"
ACY,"Atlantic City, NJ",CAK,"Akron, OH"
ACY,"Atlantic City, NJ",CRW,"Charleston/Dunbar, WV"
ACY,"Atlantic City, NJ",LBE,"Latrobe, PA"
ACY,"Atlantic City, NJ",CLT,"Charlotte, NC"
ACY,"Atlantic City, NJ",MYR,"Myrtle Beach, SC"
ACY,"Atlantic City, NJ",SFB,"Sanford, FL"
ACY,"Atlantic City, NJ",PGV,"Greenville, NC"
ACY,"Atlantic City, NJ",PHL,"Philadelphia, PA"
ACY,"Atlantic City, NJ",PIT,"Pittsburgh, PA"
ACY,"Atlantic City, NJ",BOS,"Boston, MA"
ACY,"Atlantic City, NJ",BIF,"El Paso, TX"
ACY,"Atlantic City, NJ",MHT,"Manchester, NH"
ACY,"Atlantic City, NJ",RIC,"Richmond, VA"
ACY,"Atlantic City, NJ",SAV,"Savannah, GA"
ACY,"Atlantic City, NJ",ILM,"Wilmington, NC"
ACY,"Atlantic City, NJ",CHA,"Chattanooga, TN"
ADK,"Adak Island, AK",ANC,"Anchorage, AK"
ADK,"Adak Island, AK",ANC,"Anchorage, AK"
ADK,"Adak Island, AK",ANC,"Anchorage, AK"
ADQ,"Kodiak, AK",ANC,"Anchorage, AK"
ADQ,"Kodiak, AK",ANC,"Anchorage, AK"
ADQ,"Kodiak, AK",JNU,"Juneau, AK"
ADQ,"Kodiak, AK",SEA,"Seattle, WA"
ADQ,"Kodiak, AK",ANC,"Anchorage, AK"
ADQ,"Kodiak, AK",ANC,"Anchorage, AK"
ADQ,"Kodiak, AK",ANC,"Anchorage, AK"
ADQ,"Kodiak, AK",KLN,"Larsen Bay, AK"
ADQ,"Kodiak, AK",ANC,"Anchorage, AK"
ADQ,"Kodiak, AK",ILI,"Iliamna, AK"
ADQ,"Kodiak, AK",ANC,"Anchorage, AK"
ADQ,"Kodiak, AK",AKK,"Akhiok, AK"
ADQ,"Kodiak, AK",KLN,"Larsen Bay, AK"
ADQ,"Kodiak, AK",KOZ,"Ouzinkie, AK"
ADQ,"Kodiak, AK",KYK,"Karluk, AK"
ADQ,"Kodiak, AK",OLH,"Old Harbor, AK"
ADQ,"Kodiak, AK",ORI,"Port Lions, AK"
ADQ,"Kodiak, AK",ADQ,"Kodiak, AK"
ADQ,"Kodiak, AK",AKK,"Akhiok, AK"
ADQ,"Kodiak, AK",KLN,"Larsen Bay, AK"
ADQ,"Kodiak, AK",KOZ,"Ouzinkie, AK"
ADQ,"Kodiak, AK",KYK,"Karluk, AK"
ADQ,"Kodiak, AK",OLH,"Old Harbor, AK"
ADQ,"Kodiak, AK",ORI,"Port Lions, AK"
ADQ,"Kodiak, AK",AKK,"Akhiok, AK"
ADQ,"Kodiak, AK",DGB,"Danger Bay, AK"
ADQ,"Kodiak, AK",KLN,"Larsen Bay, AK"
ADQ,"Kodiak, AK",KOZ,"Ouzinkie, AK"
ADQ,"Kodiak, AK",KYK,"Karluk, AK"
ADQ,"Kodiak, AK",OLH,"Old Harbor, AK"
ADQ,"Kodiak, AK",ORI,"Port Lions, AK"
ADQ,"Kodiak, AK",ADQ,"Kodiak, AK"
ADQ,"Kodiak, AK",AKK,"Akhiok, AK"
ADQ,"Kodiak, AK",DGB,"Danger Bay, AK"
ADQ,"Kodiak, AK",KLN,"Larsen Bay, AK"
ADQ,"Kodiak, AK",KOZ,"Ouzinkie, AK"
ADQ,"Kodiak, AK",KYK,"Karluk, AK"
ADQ,"Kodiak, AK",OLH,"Old Harbor, AK"
ADQ,"Kodiak, AK",ORI,"Port Lions, AK"
ADQ,"Kodiak, AK",ANC,"Anchorage, AK"
ADQ,"Kodiak, AK",ANC,"Anchorage, AK"
ADQ,"Kodiak, AK",ANC,"Anchorage, AK"
ADS,"Dallas, TX",MFE,"Mission/McAllen/Edinburg, TX"
ADS,"Dallas, TX",SGR,"Sugar Land, TX"
ADS,"Dallas, TX",LWB,"Lewisburg, WV"
ADS,"Dallas, TX",OLS,"Nogales, AZ"
ADS,"Dallas, TX",PHX,"Phoenix, AZ"
ADS,"Dallas, TX",FLL,"Fort Lauderdale, FL"
AET,"Allakaket, AK",HSL,"Huslia, AK"
AET,"Allakaket, AK",FAI,"Fairbanks, AK"
AET,"Allakaket, AK",RMP,"Rampart, AK"
AET,"Allakaket, AK",RLU,"Bornite/Ruby Creek, AK"
AET,"Allakaket, AK",FAI,"Fairbanks, AK"
